id,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Electoral Votes,9,3,11,6,55,9,7,3,3,29,16,4,4,20,11,6,6,8,8,4,10,11,16,10,6,10,3,5,6,4,14,5,29,15,3,18,7,7,20,4,9,3,11,38,6,3,13,12,5,10,3
Registered Voters,2490000,337000,3262000,1262000,15690000,2645000,1726000,472000,500675,9435000,4840000,523000,743000,6068000,3131000,1658000,1449000,2389000,2263000,828000,3095000,3345000,5453000,3000000,1599000,3299000,579000,883000,1277000,726000,4297000,916000,8553000,5160000,397000,6062000,1777000,2274000,6469000,532000,2430000,429000,3183000,11634000,1443000,343000,4159000,3852000,892000,3129000,268000
Population,4908620,734002,7378490,3039000,39937500,5845530,3563080,982895,705749,21993000,10736100,1412690,1826160,12659700,6745350,3179850,2910360,4499690,4645180,1345790,6083120,6976600,10045000,5700670,2989260,6169270,1086760,1952570,3139660,1371250,8936570,2096640,19440500,10611900,761723,11747700,3954820,4301090,12820900,1056160,5210100,903027,6897580,29472300,3282120,628061,8626210,7797100,1778070,5851750,567025
Percentage of Population,50.73%,45.91%,44.21%,41.53%,39.29%,45.25%,48.44%,48.02%,70.94%,42.90%,45.08%,37.02%,40.69%,47.93%,46.42%,52.14%,49.79%,53.09%,48.72%,61.53%,50.88%,47.95%,54.29%,52.63%,53.49%,53.47%,53.28%,45.22%,40.67%,52.94%,48.08%,43.69%,44.00%,48.62%,52.12%,51.60%,44.93%,52.87%,50.46%,50.37%,46.64%,47.51%,46.15%,39.47%,43.97%,54.61%,48.21%,49.40%,50.17%,53.47%,47.26%
Party plurality,Republican,Republican,Republican,Republican,Democratic,Democratic,Democratic,Democratic,Democratic,Republican,Republican,Democratic,Republican,Democratic,Republican,Republican,Republican,Republican,Republican,Democratic,Democratic,Democratic,Republican,Democratic,Republican,Republican,Republican,Republican,Democratic,Democratic,Democratic,Democratic,Democratic,Republican,Republican,Republican,Republican,Democratic,Republican,Democratic,Republican,Republican,Republican,Republican,Republican,Democratic,Democratic,Democratic,Republican,Republican,Republican
2016 Results,Republican: Donald Trump,Republican: Donald Trump,Republican: Donald Trump,Republican: Donald Trump,Democrat: Hillary Clinton,Democrat: Hillary Clinton,Democrat: Hillary Clinton,Democrat: Hillary Clinton,Democrat: Hillary Clinton,Republican: Donald Trump,Republican: Donald Trump,Democrat: Hillary Clinton,Republican: Donald Trump,Democrat: Hillary Clinton,Republican: Donald Trump,Republican: Donald Trump,Republican: Donald Trump,Republican: Donald Trump,Republican: Donald Trump,Democrat: Hillary Clinton,Democrat: Hillary Clinton,Democrat: Hillary Clinton,Republican: Donald Trump,Democrat: Hillary Clinton,Republican: Donald Trump,Republican: Donald Trump,Republican: Donald Trump,Republican: Donald Trump,Democrat: Hillary Clinton,Democrat: Hillary Clinton,Democrat: Hillary Clinton,Democrat: Hillary Clinton,Democrat: Hillary Clinton,Republican: Donald Trump,Republican: Donald Trump,Republican: Donald Trump,Republican: Donald Trump,Democrat: Hillary Clinton,Republican: Donald Trump,Democrat: Hillary Clinton,Republican: Donald Trump,Republican: Donald Trump,Republican: Donald Trump,Republican: Donald Trump,Republican: Donald Trump,Democrat: Hillary Clinton,Democrat: Hillary Clinton,Democrat: Hillary Clinton,Republican: Donald Trump,Republican: Donald Trump,Republican: Donald Trump
2012 Results,Republican: Mitt Romney,Republican: Mitt Romney,Republican: Mitt Romney,Republican: Mitt Romney,Democrat: Barack Obama,Democrat: Barack Obama,Democrat: Barack Obama,Democrat: Barack Obama,Democrat: Barack Obama,Democrat: Barack Obama,Republican: Mitt Romney,Democrat: Barack Obama,Republican: Mitt Romney,Democrat: Barack Obama,Republican: Mitt Romney,Democrat: Barack Obama,Republican: Mitt Romney,Republican: Mitt Romney,Republican: Mitt Romney,Democrat: Barack Obama,Democrat: Barack Obama,Democrat: Barack Obama,Democrat: Barack Obama,Democrat: Barack Obama,Republican: Mitt Romney,Republican: Mitt Romney,Republican: Mitt Romney,Republican: Mitt Romney,Democrat: Barack Obama,Democrat: Barack Obama,Democrat: Barack Obama,Democrat: Barack Obama,Democrat: Barack Obama,Republican: Mitt Romney,Republican: Mitt Romney,Democrat: Barack Obama,Republican: Mitt Romney,Democrat: Barack Obama,Democrat: Barack Obama,Democrat: Barack Obama,Republican: Mitt Romney,Republican: Mitt Romney,Republican: Mitt Romney,Republican: Mitt Romney,Republican: Mitt Romney,Democrat: Barack Obama,Democrat: Barack Obama,Democrat: Barack Obama,Republican: Mitt Romney,Democrat: Barack Obama,Republican: Mitt Romney
2008 Results,Republican: John McCain,Republican: John McCain,Republican: John McCain,Republican: John McCain,Democrat: Barack Obama,Democrat: Barack Obama,Democrat: Barack Obama,Democrat: Barack Obama,Democrat: Barack Obama,Democrat: Barack Obama,Republican: John McCain,Democrat: Barack Obama,Republican: John McCain,Democrat: Barack Obama,Democrat: Barack Obama,Democrat: Barack Obama,Republican: John McCain,Republican: John McCain,Republican: John McCain,Democrat: Barack Obama,Democrat: Barack Obama,Democrat: Barack Obama,Democrat: Barack Obama,Democrat: Barack Obama,Republican: John McCain,Republican: John McCain,Republican: John McCain,Republican: John McCain,Democrat: Barack Obama,Democrat: Barack Obama,Democrat: Barack Obama,Democrat: Barack Obama,Democrat: Barack Obama,Democrat: Barack Obama,Republican: John McCain,Democrat: Barack Obama,Republican: John McCain,Democrat: Barack Obama,Democrat: Barack Obama,Democrat: Barack Obama,Republican: John McCain,Republican: John McCain,Republican: John McCain,Republican: John McCain,Republican: John McCain,Democrat: Barack Obama,Democrat: Barack Obama,Democrat: Barack Obama,Republican: John McCain,Democrat: Barack Obama,Republican: John McCain
Racial Breakdown,"66% White, 26% Black, 18% Hispanic, 6% Asian","60% White, 26% Black, 4% Hispanic, 1% Asian","54% White, 4% Black, 32% Hispanic, 4% Asian","72% White, 15% Black, 8% Hispanic, 2% Asian","37% White, 5% Black, 39% Hispanic, 15% Asian","68% White, 4% Black, 22% Hispanic, 3% Asian","66% White, 1% Black, 17% Hispanic, 5% Asian","62% White, 21% Black, 9% Hispanic, 3% Asian","37% White, 45% Black, 11% Hispanic, 4% Asian","53% White, 15% Black, 26% Hispanic, 3% Asian","52% White, 31% Black, 1% Hispanic, 4% Asian","21% White, 2% Black, 1% Hispanic, 38% Asian","82% White, 1% Black, 13% Hispanic, 2% Asian","61% White, 14% Black, 17% Hispanic, 6% Asian","79% White, 9% Black, 7% Hispanic, 2% Asian","86% White, 3% Black, 6% Hispanic, 3% Asian","76% White, 5% Black, 12% Hispanic, 3% Asian","85% White, 8% Black, 4% Hispanic, 1% Asian","59% White, 32% Black, 5% Hispanic, 2% Asian","93% White, 1% Black, 2% Hispanic, 1% Asian","50% White, 29% Black, 1% Hispanic, 6% Asian","71% White, 7% Black, 12% Hispanic, 7% Asian","75% White, 14% Black, 5% Hispanic, 3% Asian","80% White, 5% Black, 5% Hispanic, 5% Asian","57% White, 38% Black, 3% Hispanic, 1% Asian","80% White, 11% Black, 4% Hispanic, 2% Asian","86% White, 1% Black, 4% Hispanic, 1% Asian","79% White, 4% Black, 11% Hispanic, 1% Asian","49% White, 9% Black, 29% Hispanic, 8% Asian","90% White, 1% Black, 4% Hispanic, 3% Asian","55% White, 13% Black, 21% Hispanic, 1% Asian","37% White, 2% Black, 49% Hispanic, 2% Asian","55% White, 14% Black, 19% Hispanic, 9% Asian","63% White, 21% Black, 10% Hispanic, 3% Asian","84% White, 3% Black, 4% Hispanic, 2% Asian","79% White, 12% Black, 4% Hispanic, 2% Asian","65% White, 7% Black, 11% Hispanic, 2% Asian","75% White, 2% Black, 13% Hispanic, 5% Asian","76% White, 1% Black, 13% Hispanic, 5% Asian","72% White, 6% Black, 16% Hispanic, 3% Asian","64% White, 4% Black, 26% Hispanic, 2% Asian","82% White, 2% Black, 4% Hispanic, 1% Asian","74% White, 17% Black, 5% Hispanic, 2% Asian","41% White, 12% Black, 4% Hispanic, 5% Asian","78% White, 1% Black, 14% Hispanic, 2% Asian","93% White, 1% Black, 2% Hispanic, 2% Asian","62% White, 19% Black, 1% Hispanic, 7% Asian","68% White, 4% Black, 13% Hispanic, 9% Asian","92% White, 4% Black, 1% Hispanic, 1% Asian","81% White, 6% Black, 7% Hispanic, 3% Asian","84% White, 0% Black, 10% Hispanic, 1% Asian"
Gender Breakdown,"Male:48 %, Female:52%","Male: 51%, Female: 49%","Male: 49%, Female: 51%","Male: 49%, Female: 51%","Male: 49%, Female: 51%","Male: 50%, Female: 50%","Male: 49%, Female: 51%","Male: 48%, Female: 52%","Male: 47%, Female: 53%","Male: 48%, Female: 52%","Male: 48%, Female: 52%","Male: 49%, Female: 51%","Male: 50%, Female: 50%","Male: 49%, Female: 51%","Male: 49%, Female: 51%","Male: 49%, Female: 51%","Male: 50%, Female: 50%","Male: 49%, Female: 51%","Male: 48%, Female: 52%","Male: 49%, Female: 51%","Male: 48%, Female: 52%","Male: 49%, Female: 51%","Male: 49%, Female: 51%","Male: 48%, Female: 52%","Male: 48%, Female: 52%","Male: 49%, Female: 51%","Male: 50%, Female: 50%","Male: 50%, Female: 50%","Male: 50%, Female: 50%","Male: 50%, Female: 50%","Male: 49%, Female: 51%","Male: 49%, Female: 51%","Male: 48%, Female: 52%","Male: 48%, Female: 52%","Male: 51%, Female: 49%","Male: 49%, Female: 51%","Male: 49%, Female: 51%","Male: 49%, Female: 51%","Male: 49%, Female: 51%","Male: 49%, Female: 51%","Male: 48%, Female: 52%","Male: 50%, Female: 50%","Male: 48%, Female: 52%","Male: 49%, Female: 51%","Male: 50%, Female: 50%","Male: 49%, Female: 51%","Male: 48%, Female: 52%","Male: 50%, Female: 50%","Male: 49%, Female: 51%","Male: 50%, Female: 50%","Male: 51%, Female: 49%"
